Brand,Model,Year,Category,Displacement (CC),Power (HP),Torque (Nm),Engine Cylinder,Engine Stroke,Gearbox,Dry Weight (kg),Wheelbase (mm),Seat Height (mm),Estimated MSRP (USD)
Bajaj,CT 110X,2022,Allround,115.5,8.6,9.8,Single cylinder, four-stroke,4-speed,,1285,,3500
Bajaj,Dominar 250,2022,Allround,248.8,26.6,31.9,Single cylinder, four-stroke,6-speed,,1453,800,4700
Bajaj,Dominar 400,2022,Sport touring,373.3,39.4,35,Single cylinder, four-stroke,6-speed,,1453,,7400
Benelli,302 R,2019,Allround,300,38,25.6,Twin, four-stroke,6-speed,,1410,785,4300
Benelli,302 S,2020,Naked bike,300,37.6,25.6,Twin, four-stroke,6-speed,,1410,795,4700
Benelli,402 S,2018,Naked bike,399.3,39.4,35,Twin, four-stroke,6-speed,160,1405,740,4700
Benelli,502 Cruiser,2022,Allround,500,47.6,45,Twin, four-stroke,6-speed,217,1600,750,7100
Benelli,502C,2021,Allround,500,47.6,45,Twin, four-stroke,6-speed,217,1600,750,6300
Benelli,752S,2022,Naked bike,754,75.1,67,Twin, four-stroke,6-speed,,1460,810,9300
Benelli,BN 125,2022,Naked bike,125,11.1,10,Single cylinder, four-stroke,5-speed,,1360,770,3300
Benelli,BN 251,2020,Naked bike,249,25.8,21.1,Single cylinder, four-stroke,6-speed,,1400,795,4600
Benelli,BN 302,2020,Naked bike,300,38,25.6,Twin, four-stroke,6-speed,185,1410,795,4400
Benelli,BN 600 GT,2017,Sport touring,600,81.6,56.4,In-line four, four-stroke,6-speed,223,1430,800,6700
Benelli,BN 600i,2018,Naked bike,600,82,52,In-line four, four-stroke,6-speed,208,1480,800,5800
Benelli,BN 600 R,2015,Naked bike,600,82,52,In-line four, four-stroke,6-speed,208,1480,800,5200
Benelli,BX 250 Motard,2016,Super motard,249.2,25,21,Single cylinder, four-stroke,6-speed,135,1450,890,3800
Benelli,Imperiale 400,2022,Allround,373.5,20.8,29,Single cylinder, four-stroke,5-speed,197,1440,780,5900
Benelli,Leoncino,2019,Enduro / offroad,499.6,47.6,45,Twin, four-stroke,6-speed,186,1443,785,5600
Benelli,Motobi 200 EVO,2021,Enduro / offroad,197,12.7,13.9,Single cylinder, four-stroke,5-speed,,,711,4100
Benelli,TNT 135,2017,Naked bike,134.7,13,10.8,Single cylinder, four-stroke,6-speed,121,1250,790,3100
Benelli,TNT 25,2017,Naked bike,249.2,24.5,21,Single cylinder, four-stroke,6-speed,159,1400,795,3700
Benelli,TNT 300,2020,Naked bike,300,32,25,V2, four-stroke,6-speed,183,1405,795,5000
Benelli,TNT 600,2020,Naked bike,599.6,67,48,In-line four, four-stroke,6-speed,208,1481,800,7300
Benelli,TNT 899,2017,Naked bike,898,119,85.6,In-line three, four-stroke,6-speed,,1443,830,7900
Benelli,TNT R,2015,Naked bike,1131,157,120,In-line three, four-stroke,6-speed,205,1443,830,9300
Benelli,Tornado 302,2016,Sport,300,36,27,Twin, four-stroke,6-speed,180,1405,790,6100
Benelli,Tornado Naked T,2016,Naked bike,124.8,11.7,10,Single cylinder, four-stroke,5-speed,121,,780,2500
Benelli,Tornado TNT 125,2017,Naked bike,124.8,11.1,9.6,Single cylinder, four-stroke,6-speed,116,1250,790,2700
Benelli,TRE 1130 K,2017,Sport touring,1131,125,112,In-line three, four-stroke,6-speed,215,1515,850,11000
Benelli,TRE 899 K,2019,Naked bike,899,104,75,In-line three, four-stroke,6-speed,215,1515,840,8200
Benelli,TRE K 1130,2015,Sport touring,1131,125,112,In-line three, four-stroke,6-speed,215,1419,780,10800
Benelli,TRE-K 1130K,2015,Sport touring,1131,125,112,In-line three, four-stroke,6-speed,215,1419,780,10900
Benelli,TRK 125,2019,Allround,124.8,12.6,10,Single cylinder, four-stroke,5-speed,153,1380,835,3100
Benelli,TRK 251,2020,Touring,249.2,24.1,21,Single cylinder, four-stroke,,153,1380,835,5900
Benelli,TRK 502,2022,Allround,499.6,47.6,45,Twin, four-stroke,6-speed,213,1525,800,6900
BMW,Concept LAC Rose,2017,Enduro / offroad,1170,110,116,Two cylinder boxer, two-stroke,6-speed,,1487,,10500
BMW,F 700 GS,2018,Enduro / offroad,798,75,77,Twin, four-stroke,6-speed,,1562,820,7500
BMW,F 750 GS,2022,Enduro / offroad,853,77,83,Twin, four-stroke,6-speed,,1559,815,9500
BMW,F 800 GS,2018,Enduro / offroad,798,85,83,Twin, four-stroke,6-speed,,1573,880,7300
BMW,F 800 GT,2019,Sport touring,798,90,86,Twin, four-stroke,6-speed,206,1514,800,9900
BMW,F 800 R,2019,Allround,798,90,86,Twin, four-stroke,6-speed,,1520,770,8800
BMW,F 850 GS,2022,Enduro / offroad,853,90,86,Twin, four-stroke,6-speed,216,1593,861,9000
BMW,F 900 R,2022,Sport,895,99,92,Twin, four-stroke,6-speed,,1518,770,16500
BMW,F 900 XR,2022,Sport,895,99,92.2,Twin, four-stroke,6-speed,,1521,775,17800
BMW,G 310 GS,2022,Sport,313,34,28,Single cylinder, four-stroke,6-speed,175,1420,833,8800
BMW,G 310 R,2022,Sport,313,34,28,Single cylinder, four-stroke,6-speed,158,1380,785,8000
BMW,G 650 GS,2017,Enduro / offroad,652,50,60,Single cylinder, four-stroke,5-speed,175,1477,780,6500
BMW,HP4,2016,Sport,999,193,112,In-line four, four-stroke,6-speed,169,1422,820,13300
BMW,K 1300 R,2015,Naked bike,1293,173,140,In-line four, four-stroke,6-speed,217,1585,820,9200
BMW,K 1300 S,2016,Sport,1293,175,140,In-line four, four-stroke,6-speed,228,1585,820,15800
BMW,K 1600 B,2022,Touring,1649,160,179,In-line six, four-stroke,6-speed,,1618,750,25400
BMW,K 1600 Grand America,2022,Touring,1649,160,179,In-line six, four-stroke,6-speed,,1618,750,26700
BMW,K 1600 GT,2022,Touring,1649,160,179,In-line six, four-stroke,6-speed,,1618,750,27000
BMW,K 1600 GTL,2022,Touring,1649,160,180,In-line six, four-stroke,6-speed,,1618,750,27200
BMW,M 1000 RR,2022,Sport,999,205,113,In-line four, four-stroke,6-speed,192,1457,832,17000
BMW,R 1200 GS,2019,Enduro / offroad,1170,125,125,Two cylinder boxer, four-stroke,6-speed,,1507,850,11200
BMW,R 1200 R,2019,Allround,1170,125,125,Twin, four-stroke,6-speed,,1515,790,10900
BMW,R 1200 RS,2019,Allround,1170,125,125,Two cylinder boxer, four-stroke,6-speed,,1527,820,9900
BMW,R 1200 RT,2019,Touring,1170,125,125,Twin, four-stroke,6-speed,,1485,805,14800
BMW,R 1250 GS,2022,Enduro / offroad,1254,136,143,Two cylinder boxer, four-stroke,6-speed,,1514,850,13600
BMW,R 1250 R,2022,Naked bike,1254,136,143,Twin, four-stroke,6-speed,,1515,820,13800
BMW,R 1250 RS,2022,Enduro / offroad,1254,136,143,Two cylinder boxer, four-stroke,6-speed,,1530,820,13700
BMW,R 1250 RT,2022,Enduro / offroad,1254,136,143,Two cylinder boxer, four-stroke,6-speed,225.9,1485,805,14400
BMW,R 18,2022,Custom / cruiser,1802,91,157,Two cylinder boxer, four-stroke,6-speed,345.2,1730,691,19700
BMW,R Nine T,2022,Sport,1170,109,116,Two cylinder boxer, four-stroke,6-speed,,1493,805,20400
BMW,R Ninet,2022,Naked bike,1170,109,115,Two cylinder boxer, four-stroke,6-speed,,1487,805,12400
Ducati,1199 Panigale,2014,Sport,1198,195,132,V2, four-stroke,6-speed,166.5,1437,825,12700
Ducati,1299 Panigale,2017,Sport,1285,205,144,V2, four-stroke,6-speed,166.5,1437,830,16800
Ducati,899 Panigale,2015,Sport,898,148,99,V2, four-stroke,6-speed,169,1426,830,11300
Ducati,959 Panigale,2018,Sport,955,150,102,V2, four-stroke,6-speed,176,1431,830,15400
Ducati,Desert Sled Fasthouse,2021,Enduro / offroad,803,73,66.2,V2, four-stroke,6-speed,193,1505,840,9400
Ducati,Desertx,2022,Enduro / offroad,937,110,92,V2, four-stroke,6-speed,202,1608,875,9700
Ducati,Diavel,2018,Naked bike,1198.4,152,123,V2, four-stroke,6-speed,210,1590,770,10100
Ducati,Hypermotard,2015,Super motard,821.1,110,89,V2, four-stroke,6-speed,175,1500,870,6900
Ducati,Hyperstrada,2015,Sport touring,821.1,110,89,V2, four-stroke,6-speed,181,1490,830,7900
Ducati,Monster,2021,Naked bike,937,111,93,V2, four-stroke,6-speed,166,1474,775,9500
Ducati,Multistrada 1200,2017,Allround,1198.4,160,136,V2, four-stroke,6-speed,209,1530,825,10400
Ducati,Multistrada 1260,2020,Allround,1262,158,129,V2, four-stroke,6-speed,209,1585,825,11600
Ducati,Multistrada 620,2019,Naked bike,618,62.2,55.6,V2, four-stroke,6-speed,183,1459,830,6200
Ducati,Multistrada 950,2021,Allround,937,113,96.2,V2, four-stroke,6-speed,204,1594,840,9800
Ducati,Multistrada V2,2022,Sport,937,93,96,V2, four-stroke,6-speed,199,1594,830,18100
Ducati,Multistrada V4,2022,Sport,1158,170,125,V4, four-stroke,6-speed,,1567,840,19100
Ducati,Multistrada V4S,2022,Sport,1158,170,125,V4, four-stroke,6-speed,215,1567,840,18500
Ducati,Panigale 959,2019,Sport,955,150,102,V2, four-stroke,6-speed,176,1431,830,14000
Ducati,Panigale R,2017,Sport,1198,205,136,V2, four-stroke,6-speed,162,1442,830,16300
Ducati,Panigale Superleggera V4,2020,Naked bike,998,221,116,V4, four-stroke,6-speed,193,1480,835,9700
Ducati,Panigale V2,2021,Sport,955,155,104,V2, four-stroke,6-speed,176,1436,830,15400
Ducati,Panigale V4,2022,Sport,1103,215,123,V4, four-stroke,6-speed,175,1469,850,19200
Ducati,Superleggera 1199,2014,Naked bike,1198.4,200,134,V2, four-stroke,6-speed,155,1511,830,8000
Ducati,Superleggera 1299,2017,Naked bike,1285,215,146,V2, four-stroke,6-speed,156,1511,830,11400
Ducati,Superleggera V4,2021,Naked bike,998,221,116,V4, four-stroke,6-speed,159,1480,835,10500
Ducati,Supersport,2019,Sport,937,110,93,V2, four-stroke,6-speed,183,1478,810,13800
Ducati,Xdiavel,2020,Sport,1262,152,126,V2, four-stroke,,220,1615,755,18000
Harley-Davidson,1200 Custom,2020,Custom / cruiser,1202,67,99,V2, four-stroke,6-speed,255,1530,725,12100
Harley-Davidson,Breakout,2021,Custom / cruiser,1868,93,155,V2, four-stroke,6-speed,294,1695,665,18400
Harley-Davidson,CVO Breakout,2014,Custom / cruiser,1802.7,,152,V2, four-stroke,6-speed,317,1709,630,11900
Harley-Davidson,CVO Limited,2021,Touring,1923,105,169,V2, four-stroke,6-speed,411,1625,704,26500
Harley-Davidson,CVO Pro Street Breakout,2017,Custom / cruiser,1801,92,151,V2, four-stroke,6-speed,318,1680,660,13900
Harley-Davidson,CVO Road Glide,2021,Touring,1923,105,171,V2, four-stroke,6-speed,390.1,1625,658,26900
Harley-Davidson,CVO Road King,2014,Touring,1802.7,,160,V2, four-stroke,6-speed,367.9,1613,673,18400
Harley-Davidson,CVO Softail Deluxe,2015,Custom / cruiser,1801,,146,V2, four-stroke,6-speed,,1630,655,11900
Harley-Davidson,CVO Street Glide,2021,Touring,1923,105,170,V2, four-stroke,6-speed,376.9,1625,663,28200
Harley-Davidson,CVO Tri Glide,2021,Touring,1917.4,105,169,V2, four-stroke,6-speed,562,1670,658,26700
Harley-Davidson,CVO Ultra Classic Electra Glide,2013,Touring,1802.7,,160,V2, four-stroke,6-speed,403.2,1613,706,17300
Harley-Davidson,Deluxe,2020,Custom / cruiser,1746,86,145,V2, four-stroke,6-speed,303,1631,680,14900
Harley-Davidson,Dyna Fat Bob,2017,Custom / cruiser,1690,80,130,V2, four-stroke,6-speed,307,1621,705,14500
Harley-Davidson,Dyna Low Rider,2017,Custom / cruiser,1690,77,125,V2, four-stroke,6-speed,298,1630,680,14200
Harley-Davidson,Dyna Street Bob,2017,Custom / cruiser,1690,77.5,130,V2, four-stroke,6-speed,291,1631,680,12300
Harley-Davidson,Dyna Super Glide Custom,2014,Custom / cruiser,1573.3,,124,V2, four-stroke,6-speed,294.8,1626,668,10100
Harley-Davidson,Dyna Switchback,2016,Touring,1690,76.1,126,V2, four-stroke,6-speed,315.7,1595,695,17300
Harley-Davidson,Dyna Wide Glide,2017,Custom / cruiser,1690,80,130,V2, four-stroke,6-speed,295,1715,680,14300
Harley-Davidson,Electra Glide Classic,2013,Touring,1688,,135,V2, four-stroke,6-speed,400.1,1613,693,14800
Harley-Davidson,Electra Glide Standard,2022,Touring,1746,90,150,V2, four-stroke,6-speed,354.3,1625,663,25900
Harley-Davidson,Electra Glide Ultra Classic,2019,Touring,1746,90,150,V2, four-stroke,6-speed,398,1625,740,20600
Harley-Davidson,Electra Glide Ultra Limited,2015,Touring,1688,85.8,138,V2, four-stroke,6-speed,400.1,1625,740,16200
Harley-Davidson,Fat Bob 114,2022,Custom / cruiser,1868,94,160,V2, four-stroke,6-speed,296.2,1615,704,19500
Harley-Davidson,Fat Boy 114,2022,Custom / cruiser,1868,100,161,V2, four-stroke,6-speed,304.4,1666,658,19900
Harley-Davidson,Fat Boy S,2016,Custom / cruiser,1801,92.5,146,V2, four-stroke,6-speed,320,1630,670,12000
Harley-Davidson,Fat Boy Special,2017,Custom / cruiser,1690,75,126,V2, four-stroke,6-speed,320,1630,660,12100
Harley-Davidson,Forty-Eight,2022,Custom / cruiser,1202,65,99,V2, four-stroke,6-speed,247,1495,665,12300
Harley-Davidson,Freewheeler,2022,Custom / cruiser,1868,100,165,V2, four-stroke,6-speed,492,1670,665,17800
Harley-Davidson,Fxdr 114,2020,Custom / cruiser,1868,100,160,V2, four-stroke,6-speed,289,1735,720,15400
Harley-Davidson,Heritage Classic,2022,Custom / cruiser,1868.2,,161,V2, four-stroke,6-speed,316.2,1630,668,18500
Harley-Davidson,Heritage Softail Classic,2017,Touring,1690,78,125,V2, four-stroke,6-speed,333,1635,690,18200
Harley-Davidson,Iron 1200,2021,Custom / cruiser,1202,,99,V2, four-stroke,6-speed,248.1,1514,653,11200
Harley-Davidson,Iron 883,2022,Custom / cruiser,883,51,73,V2, four-stroke,6-speed,247,1515,653,10600
Harley-Davidson,Low Rider,2020,Custom / cruiser,1746,86,149,V2, four-stroke,6-speed,287,1630,690,16100
Harley-Davidson,Night Rod Special,2017,Naked bike,1247,120,111,V2, four-stroke,6-speed,289,1705,675,10200
Harley-Davidson,Pan America 1250,2022,Super motard,1250.4,150,127,V2, four-stroke,6-speed,229.1,1580,813,13500
Harley-Davidson,Road Glide,2022,Touring,1746,89,150,V2, four-stroke,6-speed,372,1625,658,26700
Harley-Davidson,Road King,2022,Touring,1746,89,150,V2, four-stroke,6-speed,360.2,1625,668,24200
Harley-Davidson,Roadster,2020,Naked bike,1202,67,103,V2, four-stroke,6-speed,250,1505,785,12700
Harley-Davidson,Softail Blackline,2013,Custom / cruiser,1688,,133,V2, four-stroke,6-speed,293.9,,610,11200
Harley-Davidson,Softail Breakout,2019,Custom / cruiser,1746,86,147,V2, four-stroke,6-speed,294,1695,665,14100
Harley-Davidson,Softail Deluxe,2019,Custom / cruiser,1746,86,147,V2, four-stroke,6-speed,303,1631,658,16400
Harley-Davidson,Softail Fat Bob,2019,Custom / cruiser,1746,86,145,V2, four-stroke,6-speed,296,1615,710,13900
Harley-Davidson,Softail Fat Boy,2019,Custom / cruiser,1746,86,145,V2, four-stroke,6-speed,304,1665,675,14300
Harley-Davidson,Softail Heritage Classic,2019,Custom / cruiser,1746,86,147,V2, four-stroke,6-speed,316,1630,680,15400
Harley-Davidson,Softail Low Rider,2019,Custom / cruiser,1746,86,149,V2, four-stroke,6-speed,287,1630,690,14200
Harley-Davidson,Softail Slim,2021,Custom / cruiser,1746,86,149,V2, four-stroke,6-speed,291,1630,648,17900
Harley-Davidson,Softail Standard,2022,Custom / cruiser,1753.5,,149,V2, four-stroke,5-speed,291.2,1631,655,18600
Harley-Davidson,Softail Street Bob,2019,Custom / cruiser,1746,86,145,V2, four-stroke,6-speed,286,1630,680,14100
Harley-Davidson,Sportster 1200 Custom,2019,Custom / cruiser,1202,67,99,V2, four-stroke,6-speed,255,1530,725,10800
Harley-Davidson,Sportster 883 Roadster,2014,Custom / cruiser,883,52,70,V2, four-stroke,6-speed,255,1520,760,6700
Harley-Davidson,Sportster Forty-Eight,2020,Custom / cruiser,1202,65,99,V2, four-stroke,6-speed,247,1495,665,10900
Harley-Davidson,Sportster Iron 1200,2019,Custom / cruiser,1202,,99,V2, four-stroke,6-speed,248.1,1514,734,11100
Harley-Davidson,Sportster Iron 833,2013,Custom / cruiser,883.3,,74.6,V2, four-stroke,6-speed,251,1519,653,6900
Harley-Davidson,Sportster Iron 883,2019,Custom / cruiser,883,51,73,V2, four-stroke,6-speed,247,1515,653,9200
Harley-Davidson,Sportster Roadster,2019,Naked bike,1202,67,103,V2, four-stroke,6-speed,250,1505,785,10000
Harley-Davidson,Sportster S,2022,Sport,1252.1,121,94,V2, four-stroke,6-speed,220.9,1519,734,22100
Harley-Davidson,Sportster Seventy-Two,2016,Custom / cruiser,1201.3,65.7,96,V2, four-stroke,6-speed,251,1540,730,9100
Harley-Davidson,Sportster Superlow,2019,Custom / cruiser,883,52.3,74.6,V2, four-stroke,6-speed,247,1501,648,9300
Harley-Davidson,Street 500,2021,Custom / cruiser,491.6,,40,V2, four-stroke,6-speed,223,1520,720,6300
Harley-Davidson,Street 750,2020,Custom / cruiser,749,58,60.3,V2, four-stroke,6-speed,223,1534,653,8600
Harley-Davidson,Street Bob,2020,Custom / cruiser,1746,86,149,V2, four-stroke,6-speed,286,1630,680,16000
Harley-Davidson,Street Glide,2022,Touring,1746,89,150,V2, four-stroke,6-speed,361,1625,663,24800
Harley-Davidson,Street Rod,2020,Custom / cruiser,749,70,65,V2, four-stroke,6-speed,229,1510,765,7600
Harley-Davidson,Superlow,2020,Custom / cruiser,883,52.3,74.6,V2, four-stroke,6-speed,247,1500,648,9400
Harley-Davidson,Tri Glide Ultra,2022,Touring,1868,100,164,V2, four-stroke,6-speed,545.7,1670,688,28900
Harley-Davidson,Ultra Classic Electra Glide,2013,Touring,1688,,135,V2, four-stroke,6-speed,400.1,1613,693,17600
Harley-Davidson,Ultra Limited,2022,Touring,1868,100,165,V2, four-stroke,6-speed,399.2,1625,699,26700
Harley-Davidson,V-Rod Muscle,2017,Custom / cruiser,1247,121,115,V2, four-stroke,6-speed,292.1,1700,705,11200
Harley-Davidson,V-Rod Night Rod Special,2015,Naked bike,1247,120,111,V2, four-stroke,6-speed,289,1702,675,8400
Hero,Achiever,2015,Sport,149.2,13.4,12.8,Single cylinder, four-stroke,5-speed,,1290,,4300
Hero,Glamour,2019,Sport,124.7,9,10.4,Single cylinder, four-stroke,4-speed,,1265,790,4800
Hero,HF Dawn,2015,Sport,97.2,8.4,8.1,Single cylinder, four-stroke,4-speed,,1235,805,3500
Hero,HF Deluxe,2015,Sport,97.2,8.4,8.1,Single cylinder, four-stroke,4-speed,,1235,,3600
Hero,Hunk,2015,Naked bike,149.2,14.4,12.8,Single cylinder, four-stroke,5-speed,,1325,,2900
Hero,Ignitor,2015,Sport,124.7,11,11,Single cylinder, four-stroke,5-speed,,1270,,4100
Hero,Impulse,2015,Sport,149.2,13.2,13.4,Single cylinder, four-stroke,5-speed,,1360,,4200
Hero,Karizma,2015,Sport,223,19.2,19.4,Single cylinder, four-stroke,5-speed,,1355,,5000
Hero,New Glamour,2019,Sport,124.7,11.4,11,Single cylinder, four-stroke,4-speed,,1262,,5000
Hero,New Super Splendor,2019,Sport,124.7,9.1,11,Single cylinder, four-stroke,4-speed,125,1265,785,5300
Hero,Passion PRO,2019,Sport,97.2,8.4,8,Single cylinder, four-stroke,4-speed,,1235,795,5000
Hero,Passion X PRO,2019,Sport,109.2,9.4,9,Single cylinder, four-stroke,4-speed,117,1265,790,5000
Hero,Passion Xpro,2015,Allround,109.1,8.7,9.4,Single cylinder, four-stroke,4-speed,,1265,,2400
Hero,Splendor Ismart,2015,Sport,97.5,8.4,8.1,Single cylinder, four-stroke,4-speed,,1235,785,3800
Hero,Splendor NXG,2013,Sport,97.5,7.4,8,Single cylinder, four-stroke,4-speed,,,785,3700
Hero,Splendor Plus,2015,Sport,97.5,8.4,8,Single cylinder, four-stroke,4-speed,109,1230,,4000
Hero,Splendor Pluss,2019,Sport,97.2,7.5,,Single cylinder, four-stroke,4-speed,,1230,,4900
Hero,Splendor PRO,2019,Sport,97.2,8.3,8.1,Single cylinder, four-stroke,4-speed,112,1230,785,4900
Hero,Super Splendor,2019,Sport,124.7,9.1,10.4,Single cylinder, four-stroke,4-speed,121,1265,,5100
Hero,Xpulse 200,2022,Sport,199.6,17.8,16.2,Single cylinder, four-stroke,5-speed,,1393,800,7100
Hero,Xpulse 200S,2021,Sport,199.6,17.8,16.5,Single cylinder, four-stroke,5-speed,,1338,795,6600
Hero,Xtreme,2015,Sport,149.2,14.4,12.8,Single cylinder, four-stroke,5-speed,,1325,,4600
Honda,400X,2016,Allround,399,45.6,37,Twin, four-stroke,6-speed,194,1410,795,4500
Honda,ACE 125,2022,Allround,124.1,8.5,10.1,V2, four-stroke,4-speed,110,1310,790,3600
Honda,Africa Twin,2022,Enduro / offroad,1084,101,105,Twin, four-stroke,6-speed,,1575,851,12300
Honda,AG-XR,2020,Enduro / offroad,184,,,Single cylinder, four-stroke,5-speed,,1369,823,3700
Honda,APE 100,2016,Allround,99,7,7,Single cylinder, four-stroke,5-speed,82,1190,715,2700
Honda,APE 50,2015,Allround,49,3.6,3.6,Single cylinder, four-stroke,5-speed,,1185,715,2200
Honda,CB 1300,2019,Naked bike,1284.1,114,117,In-line four, four-stroke,5-speed,224,1510,790,12800
Honda,CB Hornet 160R,2019,Naked bike,162.7,14.9,14.5,Single cylinder, four-stroke,5-speed,140,1345,,3300
Honda,CB Shine,2013,Allround,124.6,10.3,10.9,Single cylinder, four-stroke,4-speed,,,,2100
Honda,CB Twister,2014,Sport,109,9,9,Single cylinder, four-stroke,4-speed,,1262,,3800
Honda,CB Unicorn,2013,Sport,149.1,13.3,12.8,Single cylinder, four-stroke,5-speed,,,790,4000
Honda,CB1000R,2022,Naked bike,998,143,104,In-line four, four-stroke,6-speed,,1455,830,10200
Honda,CB110,2015,Sport,109.1,8.7,9,Single cylinder, four-stroke,,100,1257,749,3800
Honda,CB1100,2017,Classic,1140,88.5,91,In-line four, four-stroke,6-speed,,1491,792,9300
Honda,CB125 Shine SP,2017,Allround,124.6,10.1,10.3,Single cylinder, four-stroke,4-speed,,1265,,2900
Honda,CB125CL,2015,Sport,124.8,8.5,10.1,Single cylinder, four-stroke,4-speed,103,1310,795,4400
Honda,CB125E,2022,Naked bike,124,,,Single cylinder, four-stroke,5-speed,,1286,767,3600
Honda,CB125F,2022,Allround,123.9,10.7,10.9,Single cylinder, four-stroke,5-speed,,1286,790,3700
Honda,CB125R,2022,Naked bike,124.9,14.8,11.6,Single cylinder, four-stroke,6-speed,,1345,816,3800
Honda,CB1300 Super BOL DOR,2015,Allround,1284,99.2,115,In-line four, four-stroke,5-speed,274,1520,780,8800
Honda,CB1300 Super Four,2015,Allround,1284,99.2,114,In-line four, four-stroke,6-speed,268,1520,780,9900
Honda,CB1300 Super Touring,2013,Touring,1284,99.2,114,In-line four, four-stroke,5-speed,261,1510,780,13600
Honda,CB150F,2022,Allround,149.2,,,Single cylinder, four-stroke,5-speed,,1311,766,4100
Honda,CB200X,2022,Sport,184,17,16.1,Single cylinder, four-stroke,5-speed,,1386,810,7000
Honda,CB223S,2016,Allround,223,16,18,Single cylinder, four-stroke,6-speed,,1395,780,3600
Honda,CB250F,2020,Sport,249.6,,,Single cylinder, four-stroke,,135,1386,784,6200
Honda,CB300F,2019,Naked bike,286,29.5,27,Single cylinder, four-stroke,6-speed,,1560,755,4600
Honda,CB300R,2022,Naked bike,286,34.9,22.9,Single cylinder, four-stroke,6-speed,,1354,800,5500
Honda,CB350,2021,Allround,348.3,20.8,30,Single cylinder, four-stroke,5-speed,,1441,800,5200
Honda,CB350RS,2022,Sport,348,20.8,30,Single cylinder, four-stroke,5-speed,,1386,800,9500
Honda,CB400,2014,Sport,399,52.3,38,In-line four, four-stroke,6-speed,195,1560,755,6700
Honda,CB400A,2017,Naked bike,399,52.3,38,In-line four, four-stroke,6-speed,195,1560,755,4500
